,y,x,min_steps,steps_taken,is_done,extra_steps,t_min_over_t
335,70,70,110,601,False,491,0.18302828618968386
336,75,70,115,601,False,486,0.1913477537437604
337,80,70,120,601,False,481,0.19966722129783693
338,85,70,125,601,False,476,0.2079866888519135
339,90,70,130,601,False,471,0.21630615640599002
340,95,70,135,601,False,466,0.22462562396006655
341,100,70,140,601,False,461,0.23294509151414308
342,105,70,145,601,False,456,0.24126455906821964
343,110,70,150,601,False,451,0.24958402662229617
344,0,75,75,601,False,526,0.12479201331114809
345,5,75,70,601,False,531,0.11647254575707154
346,10,75,65,601,False,536,0.10815307820299501
347,15,75,60,601,False,541,0.09983361064891846
348,20,75,65,601,False,536,0.10815307820299501
349,25,75,70,601,False,531,0.11647254575707154
350,30,75,75,601,False,526,0.12479201331114809
351,35,75,80,601,False,521,0.13311148086522462
352,40,75,85,601,False,516,0.14143094841930118
353,45,75,90,601,False,511,0.1497504159733777
354,50,75,95,601,False,506,0.15806988352745424
355,55,75,100,601,False,501,0.16638935108153077
356,60,75,105,601,False,496,0.17470881863560733
357,65,75,110,601,False,491,0.18302828618968386
358,70,75,115,601,False,486,0.1913477537437604
359,75,75,120,601,False,481,0.19966722129783693
360,80,75,125,601,False,476,0.2079866888519135
361,85,75,130,601,False,471,0.21630615640599002
362,90,75,135,601,False,466,0.22462562396006655
363,95,75,140,601,False,461,0.23294509151414308
364,100,75,145,601,False,456,0.24126455906821964
365,105,75,150,601,False,451,0.24958402662229617
366,110,75,155,601,False,446,0.2579034941763727
367,0,80,80,601,False,521,0.13311148086522462
368,5,80,75,601,False,526,0.12479201331114809
369,10,80,70,601,False,531,0.11647254575707154
370,15,80,65,22,True,-43,2.9545454545454546
371,20,80,70,601,False,531,0.11647254575707154
372,25,80,75,21,True,-54,3.5714285714285716
373,30,80,80,601,False,521,0.13311148086522462
374,35,80,85,601,False,516,0.14143094841930118
375,40,80,90,601,False,511,0.1497504159733777
376,45,80,95,601,False,506,0.15806988352745424
377,50,80,100,601,False,501,0.16638935108153077
378,55,80,105,601,False,496,0.17470881863560733
379,60,80,110,601,False,491,0.18302828618968386
380,65,80,115,601,False,486,0.1913477537437604
381,70,80,120,601,False,481,0.19966722129783693
382,75,80,125,601,False,476,0.2079866888519135
383,80,80,130,601,False,471,0.21630615640599002
384,85,80,135,601,False,466,0.22462562396006655
385,90,80,140,601,False,461,0.23294509151414308
386,95,80,145,601,False,456,0.24126455906821964
387,100,80,150,601,False,451,0.24958402662229617
388,105,80,155,601,False,446,0.2579034941763727
389,110,80,160,601,False,441,0.26622296173044924
390,0,85,85,601,False,516,0.14143094841930118
391,5,85,80,24,True,-56,3.3333333333333335
392,10,85,75,601,False,526,0.12479201331114809
393,15,85,70,601,False,531,0.11647254575707154
394,20,85,75,601,False,526,0.12479201331114809
395,25,85,80,601,False,521,0.13311148086522462
396,30,85,85,601,False,516,0.14143094841930118
397,35,85,90,601,False,511,0.1497504159733777
398,40,85,95,601,False,506,0.15806988352745424
399,45,85,100,601,False,501,0.16638935108153077
